business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,neighborhoods,sf_find_neighborhoods,current_police_districts,current_supervisor_districts,analysis_neighborhoods
85936,Laurel Court,950 Mason St,San Francisco,CA,94108,None,None,None,14155775000.0,85936_20170925,2017-09-25,100.0,Routine - Unscheduled,Unknown,Unknown,Not Specified,,,,,
5827,Hillcrest Elementary School,810 SILVER Ave,San Francisco,CA,94134,37.729016,-122.419253,POINT (-122.419253 37.729016),14155464722.0,5827_20170224,2017-02-24,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,92.0,92.0,2.0,2.0,7.0
94910,Ike'S Kitchen,800 Van Ness Ave,San Francisco,CA,94109,None,None,None,Unknown,94910_20180530,2018-05-30,87.0,New Ownership - Followup,Unknown,Unknown,Not Specified,,,,,
64667,Jasmine Rae Bakery,1890 Bryant St #309,San Francisco,CA,94110,37.763156,-122.410351,POINT (-122.410351 37.763156),Unknown,64667_20170814,2017-08-14,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,53.0,53.0,3.0,2.0,20.0
97722,The Churro Factory,PIER 39  K-01,San Francisco,CA,94133,None,None,None,Unknown,97722_20181217,2018-12-17,96.0,Routine - Unscheduled,97722_20181217_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,
87203,The Morris,2501 Mariposa St,San Francisco,CA,94110,None,None,None,14150710693.0,87203_20171106,2017-11-06,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,,,,,
1710,Emporio Rulli Il Caffe At Union Square,225 Stockton St,San Francisco,CA,94108,37.787936,-122.406712,POINT (-122.406712 37.787936),Unknown,1710_20180423,2018-04-23,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,19.0,19.0,6.0,3.0,8.0
92928,Cafe Reveille,201 Steiner St,San Francisco,CA,94117,None,None,None,Unknown,92928_20180118,2018-01-18,87.0,New Construction,Unknown,Unknown,Not Specified,,,,,
90840,Steep Creamery & Tea,"270 Brannan St., Suite 100",San Francisco,CA,94107,None,None,None,Unknown,90840_20171017,2017-10-17,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,,,,,
272,On The Bridge,1581 Webster St #206,San Francisco,CA,94115,37.785227,-122.431472,POINT (-122.431472 37.785227),14155927765.0,272_20180611,2018-06-11,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,101.0,101.0,4.0,11.0,15.0
92530,Taqueria Zorro,308 Columbus Ave,San Francisco,CA,94133,None,None,None,14155399677.0,92530_20190823,2019-08-23,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,,,,,
100879,Lorenzo'S Of New York Pizza,2109 POLK ST,San Francisco,CA,94109,None,None,None,14150980339.0,100879_20190611,2019-06-11,87.0,New Ownership,Unknown,Unknown,Not Specified,,,,,
95023,Sakesan,1400 Ocean Ave,San Francisco,CA,94112,None,None,None,Unknown,95023_20180510,2018-05-10,92.0,Routine - Unscheduled,95023_20180510_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,,,,,
93362,Cafe Valencia,1252 Valencia St.,San Francisco,CA,94110,None,None,None,Unknown,93362_20190426,2019-04-26,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,,,,,
3072,"Hotel Utah Saloon, The",500 04th St,San Francisco,CA,94107,37.779522,-122.398104,POINT (-122.398104 37.779522),Unknown,3072_20180309,2018-03-09,87.0,Reinspection/Followup,Unknown,Unknown,Not Specified,32.0,32.0,1.0,10.0,34.0
94977,94977 Portables 2 Carvery/Bbq,24 Willie Mays Pl Promenade Lvl Sect 112,San Francisco,CA,94107,None,None,None,Unknown,94977_20180911,2018-09-11,96.0,Routine - Unscheduled,94977_20180911_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,
101175,The Up & Up,1268 GRANT AVE,San Francisco,CA,94133,None,None,None,14155379736.0,101175_20190703,2019-07-03,87.0,New Ownership - Followup,Unknown,Unknown,Not Specified,,,,,
